date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:04:14	152576/152576	---M--	200	added ('OK')	image/jpeg	etag:%2225400-6024a8f5-8765b367215253f2;;;%22	http://phongon.ca/images/106s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/106s.jpg	(from http://phongon.ca/menu.html)
03:04:36	131979/131979	---M--	200	added ('OK')	image/jpeg	etag:%222038b-6035343b-994d7f3710215f8a;;;%22	http://phongon.ca/images/107s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/107s.jpg	(from http://phongon.ca/menu.html)
03:04:53	703710/703710	---M--	200	added ('OK')	image/jpeg	etag:%22abcde-60248577-8573aae8dc2e08a2;;;%22	http://phongon.ca/images/105.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/105.jpg	(from http://phongon.ca/menu.html)
03:04:56	543565/543565	---M--	200	added ('OK')	image/jpeg	etag:%2284b4d-60248578-205bccc83b2d7167;;;%22	http://phongon.ca/images/106.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/106.jpg	(from http://phongon.ca/menu.html)
03:05:09	406664/406664	---M--	200	added ('OK')	image/jpeg	etag:%2263488-6035343b-ade3a478666092e0;;;%22	http://phongon.ca/images/107.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/107.jpg	(from http://phongon.ca/menu.html)
03:05:13	120517/120517	---M--	200	added ('OK')	image/jpeg	etag:%221d6c5-60282010-7482547b803aa5b8;;;%22	http://phongon.ca/images/108s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/108s.jpg	(from http://phongon.ca/menu.html)
03:05:27	106907/106907	---M--	200	added ('OK')	image/jpeg	etag:%221a19b-6028200f-f9839ae5c61ef442;;;%22	http://phongon.ca/images/109s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/109s.jpg	(from http://phongon.ca/menu.html)
03:05:36	379866/379866	---M--	200	added ('OK')	image/jpeg	etag:%225cbda-60281f84-e66564cce0168bd1;;;%22	http://phongon.ca/images/108.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/108.jpg	(from http://phongon.ca/menu.html)
03:05:53	356670/356670	---M--	200	added ('OK')	image/jpeg	etag:%225713e-60282203-1e2cf92b3165e192;;;%22	http://phongon.ca/images/109.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/109.jpg	(from http://phongon.ca/menu.html)
03:05:54	152997/152997	---M--	200	added ('OK')	image/jpeg	etag:%22255a5-6024a8f7-cdf1999214bcb5d3;;;%22	http://phongon.ca/images/201s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/201s.jpg	(from http://phongon.ca/menu.html)
03:06:19	162827/162827	---M--	200	added ('OK')	image/jpeg	etag:%2227c0b-6024a8f7-494a52acc7e5fb26;;;%22	http://phongon.ca/images/202s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/202s.jpg	(from http://phongon.ca/menu.html)
03:06:47	169781/169781	---M--	200	added ('OK')	image/jpeg	etag:%2229735-6024a8f8-dc8969bf179d9f7c;;;%22	http://phongon.ca/images/203s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/203s.jpg	(from http://phongon.ca/menu.html)
03:06:54	637588/637588	---M--	200	added ('OK')	image/jpeg	etag:%229ba94-6024857d-f86b2a7c42f6cf7a;;;%22	http://phongon.ca/images/201.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/201.jpg	(from http://phongon.ca/menu.html)
03:06:58	396352/396352	---M--	200	added ('OK')	image/jpeg	etag:%2260c40-60248580-749dcc4da93ee770;;;%22	http://phongon.ca/images/203.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/203.jpg	(from http://phongon.ca/menu.html)
03:07:10	583439/583439	---M--	200	added ('OK')	image/jpeg	etag:%228e70f-6024857e-a4d8e8cbcd468df2;;;%22	http://phongon.ca/images/202.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/202.jpg	(from http://phongon.ca/menu.html)
03:07:21	163150/163150	---M--	200	added ('OK')	image/jpeg	etag:%2227d4e-6024a8f8-2a92784d4b66634e;;;%22	http://phongon.ca/images/204s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/204s.jpg	(from http://phongon.ca/menu.html)
03:07:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c700-90225c5278970af5;gz%22	http://phongon.ca/images/other/205B.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/other/205B.60.delayed	(from http://phongon.ca/menu.html)
03:07:32	133891/133891	---M--	200	added ('OK')	image/jpeg	etag:%2220b03-60282782-8bdb7ed722738d9d;;;%22	http://phongon.ca/images/205s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/205s.jpg	(from http://phongon.ca/menu.html)
